"INSTNM","CONTROL","quintiles","pct","Type"
"University of Alabama at Birmingham","1-public","1_LOW",0.5942028986,"Independent"
"University of Alabama in Huntsville","1-public","1_LOW",0.6888519135,"Independent"
"The University of Alabama","1-public","1_LOW",0.6078136739,"Independent"
"Athens State University","1-public","1_LOW",0.5631768953,"Independent"
"Auburn University at Montgomery","1-public","1_LOW",0.6961206897,"Independent"
"South University-Montgomery","3-private for-profit","1_LOW",0.6963237287,"Independent"
"Coastal Alabama Community College","1-public","1_LOW",0.7448337826,"Independent"
"Faulkner University","2-private nonprofit","1_LOW",0.6796296296,"Independent"
"George C Wallace State Community College-Hanceville","1-public","1_LOW",0.7030411449,"Independent"
"Herzing University-Birmingham","2-private nonprofit","1_LOW",0.7217582418,"Independent"
"Jacksonville State University","1-public","1_LOW",0.6047486034,"Independent"
"Jefferson State Community College","1-public","1_LOW",0.7003546099,"Independent"
"John C Calhoun State Community College","1-public","1_LOW",0.6972136223,"Independent"
"University of South Alabama","1-public","1_LOW",0.7104700855,"Independent"
"Troy University","1-public","1_LOW",0.6188569348,"Independent"
"University of Alaska Anchorage","1-public","1_LOW",0.5758176412,"Independent"
"University of Alaska Fairbanks","1-public","1_LOW",0.5587301587,"Independent"
"University of Alaska Southeast","1-public","1_LOW",0.5284280936,"Independent"
"Charter College","3-private for-profit","1_LOW",0.7558711087,"Independent"
"Alaska Career College","3-private for-profit","1_LOW",0.665158371,"Independent"
"Thunderbird School of Global Management","1-public","1_LOW",0.5857890037,"Independent"
"Carrington College-Phoenix North","3-private for-profit","1_LOW",0.7923076923,"Independent"
"Carrington College-Mesa","3-private for-profit","1_LOW",0.7923076923,"Independent"
"Carrington College-Tucson","3-private for-profit","1_LOW",0.7923076923,"Independent"
"Platt College-Arizona Automotive Institute Arizona","3-private for-profit","1_LOW",0.789380531,"Independent"
"Brookline College-Phoenix","3-private for-profit","1_LOW",0.7914513856,"Independent"
"Arizona State University-Tempe","1-public","1_LOW",0.5857890037,"Independent"
"University of Arizona","1-public","1_LOW",0.7522788204,"Independent"
"Brown Mackie College-Tucson","3-private for-profit","1_LOW",0.8198704104,"Independent"
"Embry-Riddle Aeronautical University-Prescott","2-private nonprofit","1_LOW",0.4886657102,"Independent"
"Glendale Community College","1-public","1_LOW",0.7663413191,"Independent"
"Grand Canyon University","3-private for-profit","1_LOW",0.5521631805,"Independent"
"GateWay Community College","1-public","1_LOW",0.6932614555,"Independent"
"Mesa Community College","1-public","1_LOW",0.7492742148,"Independent"
"Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division","3-private for-profit","1_LOW",0.7265232975,"Independent"
"Northern Arizona University","1-public","1_LOW",0.598495212,"Independent"
"Ottawa University-Phoenix","2-private nonprofit","1_LOW",0.4738430584,"Independent"
"Phoenix College","1-public","1_LOW",0.7499080544,"Independent"
"Pima Community College","1-public","1_LOW",0.8053622068,"Independent"
"Pima Medical Institute-Tucson","3-private for-profit","1_LOW",0.7216981132,"Independent"
"Pima Medical Institute-Albuquerque","3-private for-profit","1_LOW",0.7216981132,"Independent"
"Refrigeration School Inc","3-private for-profit","1_LOW",0.6816568047,"Independent"
"Rio Salado College","1-public","1_LOW",0.6563596491,"Independent"
"Universal Technical Institute of Arizona Inc","3-private for-profit","1_LOW",0.7369477912,"Independent"
"University of Arkansas at Little Rock","1-public","1_LOW",0.6380368098,"Independent"
"University of Arkansas","1-public","1_LOW",0.6412512219,"Independent"
"Arkansas State University-Main Campus","1-public","1_LOW",0.6593886463,"Independent"
"Arkansas Tech University","1-public","1_LOW",0.6418359669,"Independent"
"University of Central Arkansas","1-public","1_LOW",0.7925696594,"Independent"
"Harding University","2-private nonprofit","1_LOW",0.5402298851,"Independent"
"John Brown University","2-private nonprofit","1_LOW",0.4227642276,"Independent"
"University of Arkansas-Pulaski Technical College","1-public","1_LOW",0.7775910364,"Independent"
"Academy of Art University","3-private for-profit","1_LOW",0.74794639,"Independent"
"American Career College-Los Angeles","3-private for-profit","1_LOW",0.8422350041,"Independent"
"Azusa Pacific University","2-private nonprofit","1_LOW",0.4925602873,"Independent"
"Bryan University","3-private for-profit","1_LOW",0.7479806139,"Independent"
"California Baptist University","2-private nonprofit","1_LOW",0.5173852573,"Independent"
"California Lutheran University","2-private nonprofit","1_LOW",0.6075085324,"Independent"
"California State University-Bakersfield","1-public","1_LOW",0.7565347274,"Independent"
"California State University-Stanislaus","1-public","1_LOW",0.7748729121,"Independent"
"California State University-San Bernardino","1-public","1_LOW",0.8085985945,"Independent"
"California State Polytechnic University-Pomona","1-public","1_LOW",0.8483527132,"Independent"
"California State University-Chico","1-public","1_LOW",0.8395792242,"Independent"
"California State University-Dominguez Hills","1-public","1_LOW",0.8062353336,"Independent"
"California State University-Fresno","1-public","1_LOW",0.7883046238,"Independent"
"California State University-Fullerton","1-public","1_LOW",0.8074761102,"Independent"
"California State University-East Bay","1-public","1_LOW",0.7457364341,"Independent"
"California State University-Long Beach","1-public","1_LOW",0.8619323377,"Independent"
"California State University-Los Angeles","1-public","1_LOW",0.8364813815,"Independent"
"California State University-Northridge","1-public","1_LOW",0.8325968287,"Independent"
"California State University-Sacramento","1-public","1_LOW",0.8059950042,"Independent"
"College of the Canyons","1-public","1_LOW",0.8119001919,"Independent"
"Concordia University-Irvine","2-private nonprofit","1_LOW",0.6533864542,"Independent"
"Fresno Pacific University","2-private nonprofit","1_LOW",0.5439932318,"Independent"
"Fullerton College","1-public","1_LOW",0.8559819413,"Independent"
"Institute for Business and Technology","3-private for-profit","1_LOW",0.7163720215,"Independent"
"Argosy University-The Art Institute of California-San Diego","3-private for-profit","1_LOW",0.8100290261,"Independent"
"University of La Verne","2-private nonprofit","1_LOW",0.5574555404,"Independent"
"Argosy University-The Art Institute of California-San Francisco","3-private for-profit","1_LOW",0.8100290261,"Independent"
"Brightwood College-San Diego","3-private for-profit","1_LOW",0.6943907157,"Independent"
"Mount Saint Mary's University","2-private nonprofit","1_LOW",0.5323741007,"Independent"
"National Holistic Institute","3-private for-profit","1_LOW",0.7664504171,"Independent"
"National University","2-private nonprofit","1_LOW",0.4728574729,"Independent"
"North-West College-Pomona","3-private for-profit","1_LOW",0.7920250195,"Independent"
"Point Loma Nazarene University","2-private nonprofit","1_LOW",0.5506493506,"Independent"
"University of Redlands","2-private nonprofit","1_LOW",0.4345238095,"Independent"
"Argosy University-San Francisco Bay Area","3-private for-profit","1_LOW",0.8100290261,"Independent"
"Samuel Merritt University","2-private nonprofit","1_LOW",0.5460674157,"Independent"
"Golf Academy of America-San Diego","3-private for-profit","1_LOW",0.863363262,"Independent"
"San Diego State University","1-public","1_LOW",0.8263718264,"Independent"
"San Francisco State University","1-public","1_LOW",0.8364963504,"Independent"
"University of San Francisco","2-private nonprofit","1_LOW",0.6749116608,"Independent"
"San Joaquin Valley College-Visalia","3-private for-profit","1_LOW",0.7941573793,"Independent"
"William Jessup University","2-private nonprofit","1_LOW",0.6231155779,"Independent"
"San Jose State University","1-public","1_LOW",0.8294036061,"Independent"
"Santa Barbara City College","1-public","1_LOW",0.7950872657,"Independent"
"Sierra College","1-public","1_LOW",0.8376729048,"Independent"
"Simpson University","2-private nonprofit","1_LOW",0.6019736842,"Independent"
"United Education Institute-Huntington Park Campus","3-private for-profit","1_LOW",0.9029345372,"Independent"
"Walden University","3-private for-profit","1_LOW",0.4908277405,"Independent"
"Carrington College-Sacramento","3-private for-profit","1_LOW",0.7948717949,"Independent"
"Western State College of Law at Argosy University","3-private for-profit","1_LOW",0.8100290261,"Independent"
"Aims Community College","1-public","1_LOW",0.6534260179,"Independent"
"Arapahoe Community College","1-public","1_LOW",0.5903257651,"Independent"
"University of Colorado Denver/Anschutz Medical Campus","1-public","1_LOW",0.6633064516,"Independent"
"University of Colorado Colorado Springs","1-public","1_LOW",0.6330935252,"Independent"
"University of Colorado Boulder","1-public","1_LOW",0.8030075188,"Independent"
"Colorado Christian University","2-private nonprofit","1_LOW",0.5639839655,"Independent"
"Concorde Career College-Aurora","3-private for-profit","1_LOW",0.6972789116,"Independent"
"Colorado State University-Fort Collins","1-public","1_LOW",0.7259259259,"Independent"
"Colorado Technical University-Colorado Springs","3-private for-profit","1_LOW",0.7402688384,"Independent"
"Community College of Aurora","1-public","1_LOW",0.6463215259,"Independent"
"Community College of Denver","1-public","1_LOW",0.7828438949,"Independent"
"Lincoln College of Technology-Denver","3-private for-profit","1_LOW",0.7555775905,"Independent"
"Front Range Community College","1-public","1_LOW",0.6535615171,"Independent"
"Colorado Mesa University","1-public","1_LOW",0.6887351779,"Independent"
"Metropolitan State University of Denver","1-public","1_LOW",0.6618781591,"Independent"
"National American University-Colorado Springs","3-private for-profit","1_LOW",0.7242170848,"Independent"
"University of Northern Colorado","1-public","1_LOW",0.6811989101,"Independent"
"Pikes Peak Community College","1-public","1_LOW",0.6606185567,"Independent"
"Pueblo Community College","1-public","1_LOW",0.723447922,"Independent"
"Red Rocks Community College","1-public","1_LOW",0.6618257261,"Independent"
"Regis University","2-private nonprofit","1_LOW",0.4561085973,"Independent"
"Albertus Magnus College","2-private nonprofit","1_LOW",0.5,"Independent"
"Branford Hall Career Institute-Branford Campus","3-private for-profit","1_LOW",0.8431458699,"Independent"
"Lincoln College of New England-Southington","3-private for-profit","1_LOW",0.6141732283,"Independent"
"University of Bridgeport","2-private nonprofit","1_LOW",0.5769911504,"Independent"
"Central Connecticut State University","1-public","1_LOW",0.686139748,"Independent"
"Cortiva Institute-Newington","3-private for-profit","1_LOW",0.6381156317,"Independent"
"University of Connecticut","1-public","1_LOW",0.7632241814,"Independent"
"Goodwin College","2-private nonprofit","1_LOW",0.5485250107,"Independent"
"Lincoln Technical Institute-East Windsor","3-private for-profit","1_LOW",0.7779083431,"Independent"
"Capital Community College","1-public","1_LOW",0.7390158172,"Independent"
"Lincoln Technical Institute-New Britain","3-private for-profit","1_LOW",0.7779083431,"Independent"
"Porter and Chester Institute of Stratford","3-private for-profit","1_LOW",0.7954062101,"Independent"
"Post University","3-private for-profit","1_LOW",0.7311595183,"Independent"
"Quinnipiac University","2-private nonprofit","1_LOW",0.609375,"Independent"
"Sacred Heart University","2-private nonprofit","1_LOW",0.5534883721,"Independent"
"Gateway Community College","1-public","1_LOW",0.7872474747,"Independent"
"St Vincent's College","2-private nonprofit","1_LOW",0.4756554307,"Independent"
"Southern Connecticut State University","1-public","1_LOW",0.7617554859,"Independent"
"Stone Academy-West Haven","3-private for-profit","1_LOW",0.7400275103,"Independent"
"Delaware Technical Community College-Terry","1-public","1_LOW",0.6933411215,"Independent"
"Wilmington University","2-private nonprofit","1_LOW",0.5628930818,"Independent"
"University of the District of Columbia","1-public","1_LOW",0.7282479142,"Independent"
"George Washington University","2-private nonprofit","1_LOW",0.5548523207,"Independent"
"Strayer University-District of Columbia","3-private for-profit","1_LOW",0.7182544063,"Independent"
"Barry University","2-private nonprofit","1_LOW",0.5634824667,"Independent"
"Eastern Florida State College","1-public","1_LOW",0.7515688446,"Independent"
"Broward College","1-public","1_LOW",0.7703847916,"Independent"
"University of Central Florida","1-public","1_LOW",0.7482993197,"Independent"
"Daytona State College","1-public","1_LOW",0.7628294036,"Independent"
"South University-West Palm Beach","3-private for-profit","1_LOW",0.6963237287,"Independent"
"Florida SouthWestern State College","1-public","1_LOW",0.7007099945,"Independent"
"Embry-Riddle Aeronautical University-Daytona Beach","2-private nonprofit","1_LOW",0.4886657102,"Independent"
"Florida Atlantic University","1-public","1_LOW",0.7474457216,"Independent"
"Florida State College at Jacksonville","1-public","1_LOW",0.6673530085,"Independent"
"AdventHealth University","2-private nonprofit","1_LOW",0.5662337662,"Independent"
